date,category,description,amount
2026-01-05,IT,Server hosting,12500.00
2026-01-10,Office,Coffee and water,350.00
2026-01-15,Salaries,Developer salary,95000.00
2026-01-20,Marketing,Google Ads,18700.50
2026-02-01,IT,Server hosting,12500.00
2026-02-10,Office,Coffee and water,320.00
2026-02-15,Salaries,Developer salary,95000.00
2026-02-20,Marketing,Google Ads,21300.00
2026-03-01,IT,Server hosting,12500.00
2026-03-05,Office,Furniture,450000.00
2026-03-15,Salaries,Developer salary,95000.00
2026-03-20,Marketing,Google Ads,19800.00
2026-04-01,IT,Server hosting,12500.00
2026-04-10,Office,Coffee and water,310.00
2026-04-15,Salaries,Developer salary,95000.00
2026-04-20,Marketing,Google Ads,22100.00
2026-04-20,Marketing,Google Ads,22100.00
2026-05-01,IT,Server hosting,12500.00
2026-05-10,Salaries,Developer salary,95000.00
2026-05-20,Logistics,Delivery,-500.00
